,model,fitness,episode
0,./models\3cabc502v1_20241121-171431_0.pth,-314.01918595214306,0
1,./models\3cabc502v1_20241121-171444_0.pth,-320.4097151789111,0
2,./models\3cabc502v1_20241121-171444_100.pth,-142.0859750258776,100
3,./models\3cabc502v1_20241121-171444_200.pth,-229.71792764116515,200
4,./models\3cabc502v1_20241121-171444_300.pth,-114.65013871653349,300
5,./models\3cabc502v1_20241121-171444_400.pth,-136.07820091262593,400
6,./models\3cabc502v1_20241121-171444_500.pth,-476.4932826407699,500
7,./models\3cabc502v1_20241121-172233_0.pth,-256.0010258087584,0
8,./models\3cabc502v1_20241121-172254_0.pth,-255.9667841325928,0
9,./models\3cabc502v1_20241121-172254_100.pth,-753.2462965379804,100
10,./models\3cabc502v1_20241121-172452_0.pth,-284.2151946609195,0
11,./models\3cabc502v1_20241121-172520_0.pth,-305.11174545486256,0
12,./models\3cabc502v1_20241121-172548_0.pth,-213.13566998783014,0
13,./models\3cabc502v1_20241121-172616_0.pth,-257.9291603935121,0
14,./models\3cabc502v1_20241121-172904_0.pth,-128.8028930775884,0
15,./models\3cabc502v1_20241121-172904_100.pth,-292.3916751663572,100
16,./models\3cabc502v1_20241121-172904_1000.pth,-527.8610691466619,1000
17,./models\3cabc502v1_20241121-172904_1100.pth,-159.26300259972695,1100
18,./models\3cabc502v1_20241121-172904_1200.pth,-140.83625797380068,1200
19,./models\3cabc502v1_20241121-172904_1300.pth,-131.10585158228477,1300
20,./models\3cabc502v1_20241121-172904_1400.pth,-131.84296161680578,1400
21,./models\3cabc502v1_20241121-172904_1500.pth,-168.67401095647045,1500
22,./models\3cabc502v1_20241121-172904_1600.pth,-273.623331946974,1600
23,./models\3cabc502v1_20241121-172904_1700.pth,-132.93102321558868,1700
24,./models\3cabc502v1_20241121-172904_1800.pth,-616.3309901187166,1800
25,./models\3cabc502v1_20241121-172904_1900.pth,-499.54736645274215,1900
26,./models\3cabc502v1_20241121-172904_200.pth,-130.65236518492492,200
27,./models\3cabc502v1_20241121-172904_2000.pth,-750.7639210600374,2000
28,./models\3cabc502v1_20241121-172904_2100.pth,-719.2139970617613,2100
29,./models\3cabc502v1_20241121-172904_2200.pth,-767.5633113747151,2200
30,./models\3cabc502v1_20241121-172904_2300.pth,-747.6699897223251,2300
31,./models\3cabc502v1_20241121-172904_2400.pth,-344.1449183149751,2400
32,./models\3cabc502v1_20241121-172904_2500.pth,-406.14313861014455,2500
33,./models\3cabc502v1_20241121-172904_2600.pth,-443.17465725555246,2600
34,./models\3cabc502v1_20241121-172904_2700.pth,-733.4455536672897,2700
35,./models\3cabc502v1_20241121-172904_2800.pth,-772.1915882761245,2800
36,./models\3cabc502v1_20241121-172904_2900.pth,-784.6131902422671,2900
37,./models\3cabc502v1_20241121-172904_300.pth,-304.01969443003645,300
38,./models\3cabc502v1_20241121-172904_3000.pth,-751.8243595075373,3000
39,./models\3cabc502v1_20241121-172904_3100.pth,-754.0152330022163,3100
40,./models\3cabc502v1_20241121-172904_3200.pth,-791.730102420885,3200
